MED_REPL_NAME_ID,MED_PREV_NAME_ID,MED_NAME_ID_REPL_EFF_DT
79010,75141,2005-02-25 00:00:00
1400,18785,2004-12-27 00:00:00
3773,9154,2005-04-20 00:00:00
115081,212,2007-10-29 00:00:00
3344,16531,2003-12-02 00:00:00
13770,4318,2004-02-07 00:00:00
9779,48323,2003-01-09 00:00:00
63122,20154,2003-07-07 00:00:00
13572,2502,2004-12-31 00:00:00
15360,53882,2005-07-05 00:00:00
