NDC,NPT_TYPE,NPT_DATEC,NPT_PRICEX
45802004835,25,2019-07-17 00:00:00,0.46768
65862028701,25,2018-09-19 00:00:00,0.44872
55045122602,11,2009-01-12 00:00:00,0.11930
76282020090,25,2015-02-18 00:00:00,0.14480
61392011354,07,1996-01-01 00:00:00,0.16320
71335105102,16,2020-09-24 00:00:00,14.11000
00008058102,05,1989-08-01 00:00:00,7.77000
00847001700,18,2023-01-01 00:00:00,24.40000
50268018711,25,2024-01-17 00:00:00,0.30331
00070002262,10,1989-07-01 00:00:00,29.26000
